Symbol,ad
KRTEK,Karsu Tekstil Sanayii Ve Ticaret A.Ş.
KRVGD,KERVAN GIDA
KSTUR,Kuştur Kuşadası Turizm Endüstrisi A.Ş.
KTSKR,KÜTAHYA ŞEKER
KUTPO,Kutahya Porselen Sanayii A.Ş.
KUVVA,KUVVA GIDA
KUYAS,Kuyumcukent Gayrimenkul Yatırımları A.Ş.
KZBGY,KIZILBÜK GYO
LIDER,LDR TURİZM
LIDFA,Lider Faktoring A.Ş.
LINK,Link Bilgisayar Sistemleri Yazılımı ve Donanımı Sa
LKMNH,Lokman Hekim Engürüsağ Sağlık Turizm Eğitim Hizmet
LOGO,Logo Yazılım Sanayi Ve Ticaret A.Ş.
LUKSK,Lüks Kadife Ticaret Ve Sanayii A.Ş.
MAALT,Marmaris Altınyunus Turistik Tesisler A.Ş.
MAGEN,MARGÜN ENERJİ
MAKIM,MAKİM MAKİNA
MAKTK,Makina Takım Endüstrisi A.Ş.
MANAS,MANAS ENERJİ
MARKA,Marka Yatırım Holding Anonim Şirketi
MARTI,Martı Otel İşletmeleri A.Ş.
MAVI,Mavi Giyim Sanayi Ve Ticaret A.Ş.
MEDTR,MEDİTERA TIBBİ MALZEME
MEGAP,Mega Polietilen Köpük Sanayi ve Ticaret A.Ş.
MEMSA,Mensa Sınai Ticari Mali Yatırımlar A.Ş.
MEPET,Mepet Metro Petrol ve Tesisleri Sanayi ve Ticaret 
MERCN,MERCAN KİMYA
MERIT,Merit Turizm Yatırım ve İşletme A.Ş.
MERKO,Merko Gıda Sanayi Ve Ticaret A.Ş.
METRO,Metro Ticari ve Mali Yatırımlar Holding A. Ş.
METUR,Metemtur Otelcilik Ve Turizm İşletmeleri A.Ş.
MGROS,Migros T.A.Ş.
MIATK,MİA TEKNOLOJİ
MIPAZ,Milpa Ticari Ve Sınai Ürünler Paz.San. Ve Tic.A.Ş.
MMCAS,MMC Sanayi Ve Ticari Yatırımlar A.Ş.
MNDRS,Menderes Tekstil Sanayi Ve Ticaret A.Ş.
MNDTR,MONDI TURKEY
MOBTL,MOBİLTEL İLETİŞİM
MPARK,MLP Sağlık Hizmetleri A.Ş.
MRGYO,Martı Gayrimenkul Yatırım Ortaklığı A.Ş.
MRSHL,Marshall Boya Ve Vernik Sanayii A.Ş.
MSGYO,Mistral Gayrimenkul Yatırım Ortaklığı A.Ş.
MTRKS,MATRİKS VERİ DAĞITIM
MTRYO,METRO YATIRIM A.Ş.
MZHLD,Mazhar Zorlu Holding A.Ş.
NATEN,NATUREL ENERJİ TİC. A.Ş.
NETAS,Nortel Networks Netaş Telekomünikasyon A.Ş.
NIBAS,Niğbaş Niğde Beton Sanayi ve Ticaret A.Ş.
NTGAZ,NATURELGAZ
NTHOL,Net Holding A.Ş.
NUGYO,Nurol Gayrimenkul Yatırım Ortaklığı A.Ş.
NUHCM,Nuh Çimento Sanayi A.Ş.
OBASE,OBASE BİLGİSAYAR
ODAS,Odaş Elektrik Üretim San. ve Tic. A.Ş.
ONCSM,ONCOSEM ONKOLOJİK SİSTEMLER
ORCAY,ORTAKÖY ÇAY
ORGE,Orge Enerji Elektrik Taahhüt A.Ş.
ORMA,Orma Orman Mahsülleri İntegre Sanayi ve Ticaret A.
OSMEN,Osmanlı Yatırım Menkul Değerler A.Ş.
OSTIM,Ostim Endüstriyel Yatırımlar Ve İşletme A.Ş.
OTKAR,Otokar Otomotiv ve Savunma Sanayi A.Ş.
OTTO,OTTO HOLDING
OYAKC,OYAK ÇİMENTO
OYAYO,Oyak Yatırım Ortaklığı A.Ş.
OYLUM,Oylum Sınai Yatırımlar A.Ş.
OYYAT,OYAK YATIRIM MENKUL DEĞ. A.Ş.
OZGYO,Özderici Gayrimenkul Yatırım Ortaklığı A.Ş.
OZKGY,Özak Gayrimenkul Yatırım Ortaklığı A.Ş.
OZRDN,Özerden Plastik Sanayi Ve Ticaret Anonim Şirketi
OZSUB,ÖZSU BALIK ÜRETİM
PAGYO,Panora Gayrimenkul Yatırım Ortaklığı A.Ş.
PAMEL,PAMUKOVA YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş
